CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,_DistrictID,_SubheadName
26,100150130202400001,202400001,2024-11-20,1045,130,1,2,8,20,1,2,2024-10-27 13:21:36,2024-10-27 15:44:36,2024-11-20 09:31:36,13.421921,74.645829,Complainant reported Other IPC Offence at Udupi Layout on 27/10/2024. Statement recorded. Investigation initiated.,15,Other IPC Offence
27,100100107202200002,202200002,2022-07-17,1063,107,1,2,5,15,4,10,2022-07-16 22:54:30,2022-07-17 00:23:30,2022-07-17 02:12:30,16.660969,75.862919,FIR registered based on complaint. Accused identified. Further investigation in progress.,10,Atrocity (SC/ST Act)
28,400080091202200001,202200001,2022-02-25,1341,91,4,2,7,18,1,4,2022-02-11 19:05:04,2022-02-11 20:41:04,2022-02-25 14:42:04,14.18765,75.80092,Accused was intercepted near Shivamogga Circle bus stand. Search revealed MDMA concealed in food parcel. Quantity: 4449 grams.,8,NDPS Possession
29,800010028202200001,202200001,2022-08-28,1904,28,8,1,3,11,2,6,2022-08-24 21:20:44,2022-08-24 23:37:44,2022-08-28 02:22:44,12.761796,77.517297,Complainant reported repeated assault by husband and in-laws over dowry demands. Injuries documented.,1,Domestic Violence
30,400150134202200001,202200001,2022-02-17,63,134,4,2,5,15,1,9,2022-01-20 08:34:24,2022-01-20 09:24:24,2022-02-17 14:07:24,13.423716,74.985986,FIR registered based on complaint. Accused identified. Further investigation in progress.,15,Atrocity (SC/ST Act)
31,100220155202400001,202400001,2024-06-08,397,155,1,2,2,7,2,8,2024-05-29 22:25:08,2024-05-29 23:12:08,2024-06-08 11:52:08,14.674106,75.357685,"Two suspects on a white Activa motorcycle targeted lone female walkers near Haveri Layout, snatched gold chain from behind and fled.",22,Chain Snatching
32,400240163202400001,202400001,2024-05-19,341,163,4,2,2,8,1,6,2024-05-19 13:41:04,2024-05-19 15:51:04,2024-05-19 19:50:04,15.899916,75.397448,FIR registered based on complaint. Accused identified. Further investigation in progress.,24,Commercial Robbery
33,100090094202300001,202300001,2023-06-03,1106,94,1,2,1,3,1,8,2023-05-26 18:50:25,2023-05-26 19:04:25,2023-06-03 06:04:25,15.662031,75.34686,Complainant reported Grievous Hurt at Dharwad Main Road on 26/05/2023. Statement recorded. Investigation initiated.,9,Grievous Hurt
34,100010028202300001,202300001,2023-05-08,1731,28,1,2,4,13,1,6,2023-04-30 23:54:21,2023-05-01 00:37:21,2023-05-08 22:33:21,12.953597,77.845483,Complainant reported Cheating at Bangalore Urban Layout on 30/04/2023. Statement recorded. Investigation initiated.,1,Cheating
35,100040054202400001,202400001,2024-03-09,1019,54,1,2,7,19,2,7,2024-02-27 21:25:41,2024-02-27 22:11:41,2024-03-09 20:50:41,15.940109,74.33642,Complainant reported NDPS Trafficking at Belagavi Layout on 27/02/2024. Statement recorded. Investigation initiated.,4,NDPS Trafficking
36,100050066202400001,202400001,2024-09-09,1894,66,1,1,5,15,4,2,2024-08-10 18:23:43,2024-08-10 19:49:43,2024-09-09 01:05:43,17.420049,77.218809,Complainant reported Atrocity (SC/ST Act) at Kalaburagi Market on 10/08/2024. Statement recorded. Investigation initiated.,5,Atrocity (SC/ST Act)
37,100140126202300001,202300001,2023-01-03,659,126,1,1,5,15,1,1,2022-12-06 21:52:23,2022-12-06 22:26:23,2023-01-03 06:25:23,12.512843,77.286261,Complainant reported Atrocity (SC/ST Act) at Mandya Main Road on 06/12/2022. Statement recorded. Investigation initiated.,14,Atrocity (SC/ST Act)
38,300090100202300001,202300001,2023-10-20,423,100,3,1,3,10,3,3,2023-10-06 19:46:47,2023-10-06 21:05:47,2023-10-20 05:16:47,14.803964,75.213276,FIR registered based on complaint. Accused identified. Further investigation in progress.,9,Eve Teasing
39,100010010202400001,202400001,2024-08-31,46,10,1,2,7,18,1,9,2024-08-19 06:47:19,2024-08-19 06:54:19,2024-08-31 20:58:19,12.993362,77.519848,During routine vehicle check accused found with Brown Sugar packets. No valid permit produced.,1,NDPS Possession
40,100080089202300001,202300001,2023-07-19,1026,89,1,2,6,16,2,8,2023-07-15 11:24:27,2023-07-15 12:08:27,2023-07-19 04:36:27,13.95284,75.071208,"Caller posed as KYC officer of SBI bank. Victim shared OTP and Rs 496,000 was debited.",8,Cyber Fraud
41,100150131202400001,202400001,2024-10-15,807,131,1,2,2,6,3,4,2024-10-10 18:53:13,2024-10-10 19:05:13,2024-10-15 02:56:13,13.285982,74.831378,Drilled hole near the front door wooden lock using a manual hand drill silencer setup. Gold ornaments and cash stolen.,15,House Burglary
42,300050067202400001,202400001,2024-04-19,1691,67,3,2,2,8,2,8,2024-04-02 09:19:25,2024-04-02 10:32:25,2024-04-19 02:45:25,17.699174,76.704732,Complainant reported Commercial Robbery at Kalaburagi Market on 02/04/2024. Statement recorded. Investigation initiated.,5,Commercial Robbery
43,100120119202200001,202200001,2022-01-05,1531,119,1,2,2,9,1,2,2022-01-03 09:10:08,2022-01-03 09:29:08,2022-01-05 04:13:08,16.009877,77.218461,Complainant reported Pickpocketing at Raichur Layout on 03/01/2022. Statement recorded. Investigation initiated.,12,Pickpocketing
44,100100102202200001,202200001,2022-03-11,243,102,1,1,7,19,2,6,2022-02-20 17:51:53,2022-02-20 20:51:53,2022-03-11 01:47:53,17.059051,75.792188,FIR registered based on complaint. Accused identified. Further investigation in progress.,10,NDPS Trafficking
45,300030046202200001,202200001,2022-05-08,1188,46,3,1,2,7,1,10,2022-04-20 21:20:59,2022-04-20 21:53:59,2022-05-08 09:32:59,12.16336,76.767717,"Two suspects on a black Splendor motorcycle targeted lone woman walkers near Mysuru Layout, snatched gold chain from behind and fled.",3,Chain Snatching
46,100020035202400001,202400001,2024-03-05,1654,35,1,2,3,11,1,10,2024-02-28 18:58:53,2024-02-28 19:04:53,2024-03-05 09:39:53,13.131269,77.839161,Complainant reported repeated assault by husband and in-laws over dowry demands. Injuries documented.,2,Domestic Violence
47,100010006202200001,202200001,2022-06-25,793,6,1,2,1,1,2,9,2022-05-27 07:11:04,2022-05-27 07:26:04,2022-06-25 02:07:04,12.796087,77.512684,Victim attacked with sharp weapon during altercation over land dispute. Succumbed to injuries at hospital.,1,Murder
48,100010012202400001,202400001,2024-10-07,1474,12,1,1,1,3,1,9,2024-09-13 21:33:53,2024-09-13 22:04:53,2024-10-07 17:06:53,12.873573,77.228721,FIR registered based on complaint. Accused identified. Further investigation in progress.,1,Grievous Hurt
49,300020039202300001,202300001,2023-06-28,1316,39,3,2,1,2,1,10,2023-06-26 21:51:33,2023-06-27 00:43:33,2023-06-28 16:01:33,13.18103,77.662264,FIR registered based on complaint. Accused identified. Further investigation in progress.,2,Attempt to Murder
50,400040054202200001,202200001,2022-02-12,1019,54,4,2,1,4,1,3,2022-01-20 05:49:16,2022-01-20 06:33:16,2022-02-12 00:12:16,15.850978,74.439053,FIR registered based on complaint. Accused identified. Further investigation in progress.,4,Simple Assault
51,300010015202400001,202400001,2024-04-04,294,15,3,2,2,6,2,4,2024-03-07 19:06:28,2024-03-07 20:38:28,2024-04-04 22:52:28,12.617757,77.489439,Drilled hole near the front door wooden lock using a manual hand drill silencer setup. Gold ornaments and cash stolen.,1,House Burglary
52,400260168202300001,202300001,2023-07-31,168,168,4,2,2,6,3,3,2023-07-20 19:23:25,2023-07-20 20:40:25,2023-07-31 03:42:25,13.349821,77.530931,"Suspects gained entry through rear window by breaking iron grills. House was locked, owners were outstation.",26,House Burglary
53,100210154202300001,202300001,2023-10-03,2000,154,1,2,2,8,2,6,2023-09-21 06:17:34,2023-09-21 06:45:34,2023-10-03 21:49:34,15.376279,75.731913,FIR registered based on complaint. Accused identified. Further investigation in progress.,21,Commercial Robbery
54,800080088202300001,202300001,2023-12-19,300,88,8,2,2,9,1,7,2023-12-18 12:52:04,2023-12-18 14:10:04,2023-12-19 14:36:04,14.401446,75.611744,Complainant reported Pickpocketing at Shivamogga Main Road on 18/12/2023. Statement recorded. Investigation initiated.,8,Pickpocketing
55,300120118202200001,202200001,2022-11-14,78,118,3,2,3,10,1,5,2022-11-08 00:42:13,2022-11-08 01:38:13,2022-11-14 18:37:13,16.276388,77.325289,FIR registered based on complaint. Accused identified. Further investigation in progress.,12,Eve Teasing
56,300010018202300001,202300001,2023-10-07,1352,18,3,1,1,1,2,8,2023-09-27 12:40:53,2023-09-27 15:15:53,2023-10-07 09:00:53,12.491907,77.587972,Deceased was found with stab wounds near Bangalore Urban Bus Stand. Old enmity suspected. Accused identified as acquaintance of victim.,1,Murder
57,300140125202200001,202200001,2022-09-25,847,125,3,2,2,9,1,10,2022-09-09 18:02:12,2022-09-09 20:37:12,2022-09-25 09:07:12,12.536858,77.510911,FIR registered based on complaint. Accused identified. Further investigation in progress.,14,Pickpocketing
58,300260167202200001,202200001,2022-12-02,351,167,3,2,2,6,1,4,2022-11-17 23:30:11,2022-11-18 02:01:11,2022-12-02 23:38:11,13.38741,77.806887,Drilled hole near the front door wooden lock using a manual hand drill silencer setup. Gold ornaments and cash stolen.,26,House Burglary
59,100030040202200001,202200001,2022-06-14,1549,40,1,2,3,12,2,2,2022-06-13 06:53:11,2022-06-13 07:38:11,2022-06-14 04:27:11,12.287122,76.34723,Complainant reported Sexual Assault at Mysuru Layout on 13/06/2022. Statement recorded. Investigation initiated.,3,Sexual Assault
60,100090098202400001,202400001,2024-10-24,576,98,1,1,7,19,2,8,2024-09-27 21:04:54,2024-09-27 23:28:54,2024-10-24 13:59:54,15.744606,75.195783,FIR registered based on complaint. Accused identified. Further investigation in progress.,9,NDPS Trafficking
61,100010031202400001,202400001,2024-01-06,1149,31,1,2,2,5,2,2,2024-01-01 21:53:49,2024-01-01 22:46:49,2024-01-06 04:58:49,13.169358,77.367253,Two-wheeler was parked near Bangalore Urban Layout. Ignition bypassed using duplicate key. Vehicle stolen between 14:00 and 23:00.,1,Vehicle Theft
62,100010023202200001,202200001,2022-07-03,361,23,1,2,1,4,2,3,2022-06-08 20:37:07,2022-06-08 22:30:07,2022-07-03 04:09:07,13.322299,77.244137,FIR registered based on complaint. Accused identified. Further investigation in progress.,1,Simple Assault
63,100270172202300001,202300001,2023-08-08,1602,172,1,2,8,20,1,2,2023-08-01 14:46:31,2023-08-01 15:58:31,2023-08-08 14:01:31,13.283614,78.6,FIR registered based on complaint. Accused identified. Further investigation in progress.,27,Other IPC Offence
64,400100101202200001,202200001,2022-12-11,1918,101,4,1,2,5,1,8,2022-11-29 11:34:22,2022-11-29 13:47:22,2022-12-11 20:51:22,16.582566,75.568426,Two-wheeler was parked near Vijayapura Main Road. Ignition bypassed using duplicate key. Vehicle stolen between 07:00 and 22:00.,10,Vehicle Theft
65,100130121202300001,202300001,2023-09-25,641,121,1,2,2,6,2,2,2023-09-02 10:26:30,2023-09-02 10:31:30,2023-09-25 20:12:30,13.028213,75.974531,"Suspects gained entry through rear window by breaking iron grills. House was locked, owners were outstation.",13,House Burglary
66,300040052202400001,202400001,2024-12-18,652,52,3,2,6,17,3,2,2024-11-30 01:26:09,2024-11-30 03:13:09,2024-12-18 18:35:09,15.462034,74.514841,Complainant reported Online Harassment at Belagavi Layout on 30/11/2024. Statement recorded. Investigation initiated.,4,Online Harassment
67,100070083202200001,202200001,2022-06-12,1599,83,1,2,3,11,2,4,2022-05-24 21:11:31,2022-05-24 22:56:31,2022-06-12 11:15:31,13.072324,77.219398,Victim assaulted by husband under influence of alcohol. Neighbours informed police station.,7,Domestic Violence
68,100010009202400001,202400001,2024-07-19,1906,9,1,2,8,20,2,6,2024-06-28 03:49:12,2024-06-28 05:56:12,2024-07-19 16:22:12,12.741744,77.982084,Complainant reported Other IPC Offence at Bangalore Urban Circle on 28/06/2024. Statement recorded. Investigation initiated.,1,Other IPC Offence
69,100030051202200001,202200001,2022-06-05,1348,51,1,2,2,5,2,5,2022-05-25 11:38:48,2022-05-25 11:57:48,2022-06-05 08:34:48,12.099987,76.558885,Two-wheeler was parked near Mysuru Main Road. Ignition bypassed using duplicate key. Vehicle stolen between 20:00 and 22:00.,3,Vehicle Theft
70,300010028202200001,202200001,2022-09-09,792,28,3,2,6,17,3,10,2022-08-31 20:20:58,2022-08-31 22:13:58,2022-09-09 09:25:58,13.174979,77.286884,FIR registered based on complaint. Accused identified. Further investigation in progress.,1,Online Harassment
71,100230158202300001,202300001,2023-06-07,1403,158,1,1,3,11,2,7,2023-05-26 03:40:09,2023-05-26 05:10:09,2023-06-07 17:54:09,15.404665,76.481486,Complainant reported repeated assault by husband and in-laws over dowry demands. Injuries documented.,23,Domestic Violence
72,100190146202300001,202300001,2023-08-30,357,146,1,2,1,3,1,1,2023-08-22 05:45:16,2023-08-22 06:15:16,2023-08-30 01:36:16,13.823229,76.444158,Complainant reported Grievous Hurt at Chitradurga Layout on 22/08/2023. Statement recorded. Investigation initiated.,19,Grievous Hurt
73,100110110202300001,202300001,2023-03-01,1164,110,1,2,6,17,3,1,2023-02-07 15:26:36,2023-02-07 16:38:36,2023-03-01 09:31:36,15.204371,77.116856,Complainant reported Online Harassment at Ballari Circle on 07/02/2023. Statement recorded. Investigation initiated.,11,Online Harassment
74,100050064202200001,202200001,2022-09-29,1167,64,1,2,4,13,1,5,2022-09-26 12:42:34,2022-09-26 15:09:34,2022-09-29 14:04:34,17.020462,76.504186,Complainant reported Cheating at Kalaburagi Bus Stand on 26/09/2022. Statement recorded. Investigation initiated.,5,Cheating
75,100010013202300001,202300001,2023-11-27,467,13,1,2,4,13,1,4,2023-11-03 17:47:22,2023-11-03 19:57:22,2023-11-27 02:07:22,13.102085,77.668846,Complainant reported Cheating at Bangalore Urban Market on 03/11/2023. Statement recorded. Investigation initiated.,1,Cheating
76,100160137202200001,202200001,2022-04-05,1529,137,1,2,6,17,1,10,2022-03-11 04:24:33,2022-03-11 05:32:33,2022-04-05 09:58:33,14.856323,74.773112,Complainant reported Online Harassment at Uttara Kannada Layout on 11/03/2022. Statement recorded. Investigation initiated.,16,Online Harassment
77,100010026202400001,202400001,2024-01-07,1717,26,1,2,2,6,2,6,2024-01-05 17:53:45,2024-01-05 19:46:45,2024-01-07 14:21:45,12.801594,77.652663,"Suspects gained entry through rear window by breaking iron grills. House was locked, owners were outstation.",1,House Burglary
78,100160137202200002,202200002,2022-01-25,240,137,1,2,2,9,4,9,2021-12-27 19:51:35,2021-12-27 22:47:35,2022-01-25 04:28:35,14.866968,74.507912,FIR registered based on complaint. Accused identified. Further investigation in progress.,16,Pickpocketing
79,300160136202400001,202400001,2024-11-23,155,136,3,1,6,17,1,4,2024-11-11 08:14:19,2024-11-11 08:28:19,2024-11-23 22:24:19,15.260144,74.804958,Complainant reported Online Harassment at Uttara Kannada Market on 11/11/2024. Statement recorded. Investigation initiated.,16,Online Harassment
80,100280175202200001,202200001,2022-09-25,1025,175,1,1,3,10,3,1,2022-09-24 17:45:48,2022-09-24 20:17:48,2022-09-25 19:37:48,12.417874,77.446038,Complainant reported Eve Teasing at Ramanagara Main Road on 24/09/2022. Statement recorded. Investigation initiated.,28,Eve Teasing
81,100270172202400001,202400001,2024-07-16,1602,172,1,1,4,13,1,6,2024-06-21 17:43:45,2024-06-21 19:51:45,2024-07-16 04:47:45,12.89323,78.326171,FIR registered based on complaint. Accused identified. Further investigation in progress.,27,Cheating
82,100070086202400001,202400001,2024-09-23,1298,86,1,1,2,5,2,1,2024-09-10 12:55:42,2024-09-10 15:30:42,2024-09-23 13:23:42,13.627549,76.895829,Four-wheeler stolen from apartment parking. CCTV footage shows suspect using master key device.,7,Vehicle Theft
83,400260167202300001,202300001,2023-11-04,705,167,4,2,1,4,1,2,2023-10-22 19:17:55,2023-10-22 19:45:55,2023-11-04 09:50:55,13.676344,77.834695,Complainant reported Simple Assault at Chikkaballapura Layout on 22/10/2023. Statement recorded. Investigation initiated.,26,Simple Assault
84,100120117202400001,202400001,2024-05-22,1507,117,1,2,3,11,2,3,2024-05-05 15:12:47,2024-05-05 16:32:47,2024-05-22 13:36:47,16.417515,77.818098,Victim assaulted by husband under influence of alcohol. Neighbours informed police station.,12,Domestic Violence
85,100060076202300001,202300001,2023-10-29,1907,76,1,1,7,18,1,2,2023-10-27 15:36:10,2023-10-27 17:37:10,2023-10-29 01:07:10,12.852753,74.667566,Accused was intercepted near Dakshina Kannada Layout bus stand. Search revealed Heroin concealed in undergarment. Quantity: 606 grams.,6,NDPS Possession
86,100200149202400001,202400001,2024-03-04,1788,149,1,1,2,5,1,10,2024-02-19 23:31:55,2024-02-20 01:32:55,2024-03-04 00:41:55,14.242021,75.717847,Two-wheeler was parked near Davangere Layout. Ignition bypassed using duplicate key. Vehicle stolen between 10:00 and 21:00.,20,Vehicle Theft
87,100020034202400001,202400001,2024-01-12,1491,34,1,1,4,14,3,6,2023-12-29 18:03:55,2023-12-29 19:15:55,2024-01-12 19:31:55,13.087725,77.682288,FIR registered based on complaint. Accused identified. Further investigation in progress.,2,Fraud
88,100220157202200001,202200001,2022-03-19,1703,157,1,1,2,5,1,8,2022-03-07 04:14:18,2022-03-07 05:46:18,2022-03-19 07:58:18,14.863073,75.610896,Two-wheeler was parked near Haveri Bus Stand. Ignition bypassed using duplicate key. Vehicle stolen between 06:00 and 21:00.,22,Vehicle Theft
89,100030042202200001,202200001,2022-04-23,1490,42,1,2,1,1,2,1,2022-03-25 22:59:53,2022-03-26 00:39:53,2022-04-23 14:32:53,12.29905,77.002784,Deceased was found with stab wounds near Mysuru Layout. Old enmity suspected. Accused identified as neighbour of victim.,3,Murder
90,100010003202300001,202300001,2023-11-16,1477,3,1,2,1,4,1,1,2023-10-29 03:08:43,2023-10-29 04:04:43,2023-11-16 10:20:43,12.905436,78.274642,Complainant reported Simple Assault at Bangalore Urban Main Road on 29/10/2023. Statement recorded. Investigation initiated.,1,Simple Assault
91,800120119202300001,202300001,2023-10-03,767,119,8,2,2,5,2,3,2023-09-25 18:30:03,2023-09-25 19:04:03,2023-10-03 05:08:03,16.368417,77.129611,Four-wheeler stolen from apartment parking. CCTV footage shows suspect using master key device.,12,Vehicle Theft
92,300010026202400001,202400001,2024-11-29,466,26,3,2,2,9,1,3,2024-11-20 16:13:34,2024-11-20 17:50:34,2024-11-29 11:49:34,12.703877,77.715218,FIR registered based on complaint. Accused identified. Further investigation in progress.,1,Pickpocketing
93,100280175202400001,202400001,2024-04-29,1025,175,1,1,7,19,1,6,2024-04-04 09:14:43,2024-04-04 10:56:43,2024-04-29 23:41:43,12.659834,77.4604,Complainant reported NDPS Trafficking at Ramanagara Main Road on 04/04/2024. Statement recorded. Investigation initiated.,28,NDPS Trafficking
94,100010012202400002,202400002,2024-07-11,41,12,1,2,1,4,1,10,2024-06-13 22:49:32,2024-06-14 00:17:32,2024-07-11 20:24:32,13.089909,77.576393,Complainant reported Simple Assault at Bangalore Urban Main Road on 13/06/2024. Statement recorded. Investigation initiated.,1,Simple Assault
95,400210154202400001,202400001,2024-11-25,1057,154,4,2,1,3,3,5,2024-11-20 19:10:05,2024-11-20 21:57:05,2024-11-25 09:57:05,15.204902,75.252188,Complainant reported Grievous Hurt at Gadag Market on 20/11/2024. Statement recorded. Investigation initiated.,21,Grievous Hurt
96,800240163202200001,202200001,2022-05-03,101,163,8,2,7,19,2,5,2022-04-06 13:46:35,2022-04-06 14:37:35,2022-05-03 15:05:35,16.064871,75.9106,FIR registered based on complaint. Accused identified. Further investigation in progress.,24,NDPS Trafficking
97,100100103202400001,202400001,2024-09-27,1294,103,1,2,1,4,1,5,2024-09-03 10:53:40,2024-09-03 11:14:40,2024-09-27 06:49:40,16.883723,75.398565,Complainant reported Simple Assault at Vijayapura Bus Stand on 03/09/2024. Statement recorded. Investigation initiated.,10,Simple Assault
98,100010020202300001,202300001,2023-06-08,308,20,1,2,8,20,3,10,2023-05-20 21:57:51,2023-05-20 22:46:51,2023-06-08 05:12:51,13.014895,77.690929,FIR registered based on complaint. Accused identified. Further investigation in progress.,1,Other IPC Offence
99,800070086202200001,202200001,2022-04-02,1298,86,8,2,1,2,2,3,2022-03-19 14:30:35,2022-03-19 15:42:35,2022-04-02 07:50:35,13.116936,77.139431,Complainant reported Attempt to Murder at Tumakuru Layout on 19/03/2022. Statement recorded. Investigation initiated.,7,Attempt to Murder
