CSID,CaseMasterID,csdate,cstype,PolicePersonID
96,318,2024-08-01,A,1407
97,319,2024-04-23,B,1481
98,320,2023-05-16,A,1939
99,321,2025-03-17,A,1625
100,328,2025-05-06,B,1123
101,334,2023-05-10,B,573
102,335,2025-03-08,C,1325
103,337,2022-08-27,A,456
104,339,2023-12-28,A,1619
105,342,2024-01-14,C,1710
106,344,2025-05-16,A,455
107,349,2024-01-25,A,1048
108,352,2025-06-30,A,1330
109,354,2024-11-27,A,1586
110,356,2025-03-08,A,1941
111,357,2024-04-27,C,806
112,364,2024-05-24,B,1411
113,367,2023-03-20,A,1905
114,368,2025-07-02,C,790
115,371,2024-12-02,C,867
116,377,2025-08-13,C,746
117,378,2025-03-10,B,1215
118,381,2023-08-14,A,1358
119,383,2022-12-04,C,718
120,393,2023-12-15,A,640
121,394,2022-10-22,A,619
122,403,2024-12-04,A,366
123,405,2025-01-28,C,1078
124,407,2024-01-11,A,721
125,409,2022-11-11,A,1175
126,411,2024-05-04,B,865
127,412,2023-07-02,C,80
128,413,2022-04-29,B,896
129,415,2024-01-09,C,879
130,418,2023-11-13,A,1718
131,419,2024-01-29,A,1624
132,420,2024-12-05,C,951
133,421,2024-02-23,A,1912
134,423,2024-04-18,A,1819
135,426,2022-12-10,A,1543
136,429,2022-06-22,A,777
137,431,2023-08-07,C,1572
138,433,2023-04-26,A,591
139,436,2022-10-22,C,1331
140,438,2024-01-11,A,1229
141,445,2023-05-06,C,912
142,447,2022-08-08,A,1480
143,450,2025-03-31,A,821
144,452,2025-05-09,C,1483
145,456,2022-05-29,A,1658
146,458,2023-03-31,A,799
147,463,2024-11-28,A,154
148,464,2024-03-09,C,1063
149,465,2023-12-09,C,1975
150,467,2025-06-14,A,1363
151,473,2024-04-18,A,1272
152,476,2024-04-04,A,1745
153,477,2025-03-23,C,875
154,478,2023-10-22,A,413
155,480,2022-09-10,A,112
156,482,2023-12-24,A,920
157,489,2024-12-16,C,238
158,495,2024-01-20,A,1395
159,504,2024-11-25,A,1174
160,513,2023-11-26,A,1592
161,520,2025-09-26,C,793
162,523,2022-11-12,A,1517
163,528,2022-06-27,A,1962
164,530,2023-08-19,C,586
165,535,2023-03-03,A,1362
166,540,2025-01-17,A,887
167,544,2025-02-03,A,676
168,551,2023-11-16,C,325
169,553,2022-12-24,C,857
170,555,2024-07-14,C,1279
171,558,2024-11-28,A,467
172,564,2023-04-19,A,1228
173,570,2023-04-29,C,862
174,573,2025-04-16,A,1785
175,574,2024-04-18,A,864
176,577,2025-08-22,A,1017
177,580,2023-01-22,A,793
178,584,2023-01-14,C,1804
179,588,2023-08-25,A,1384
180,589,2022-07-11,A,1152
181,594,2024-11-29,A,332
182,596,2024-12-27,A,563
183,598,2025-01-17,A,117
184,600,2024-11-02,A,1829
185,607,2025-04-23,A,561
186,608,2024-10-31,C,1738
187,616,2023-05-14,B,1280
188,631,2024-09-23,A,1561
189,637,2025-01-26,A,475
190,638,2022-09-16,C,1921
191,640,2024-03-03,B,256
192,646,2024-11-26,B,1522
193,655,2025-07-23,C,1970
194,657,2024-04-30,A,1214
195,658,2025-02-16,B,576
196,663,2024-03-17,A,1746
197,664,2024-12-12,A,692
198,666,2023-12-27,A,1143
199,669,2022-10-18,A,498
200,670,2022-11-10,A,267
201,674,2023-02-02,A,1298
202,678,2024-10-19,A,362
203,686,2024-01-14,A,669
204,687,2024-07-28,A,1578
205,694,2024-10-28,C,731
206,699,2025-01-18,A,1443
207,700,2024-02-14,A,463
208,704,2023-08-27,A,787
209,705,2024-01-07,A,266
210,707,2024-05-30,A,64
211,708,2022-07-26,B,571
212,709,2023-04-05,A,1707
213,715,2023-02-19,C,549
214,718,2023-12-08,A,1087
215,721,2023-12-18,A,1865
216,727,2024-04-15,A,1997
217,732,2023-11-05,A,1754
218,734,2024-04-08,A,576
219,737,2023-11-07,A,571
220,742,2023-09-20,A,1349
221,746,2023-11-27,A,1027
222,748,2023-07-20,A,1898
223,754,2023-11-12,A,1614
224,756,2022-11-26,A,819
225,758,2024-02-04,A,895
226,766,2025-04-19,A,1083
227,769,2022-07-31,A,353
228,779,2023-05-03,C,41
229,783,2022-04-28,C,154
230,785,2022-10-08,C,1121
231,788,2025-01-20,C,375
232,791,2023-05-09,A,570
233,792,2024-05-31,A,364
234,793,2024-08-15,C,360
235,795,2023-02-24,A,1923
236,798,2024-04-27,A,1391
237,799,2024-03-19,A,132
238,801,2025-02-04,A,1240
239,804,2023-01-13,A,1024
240,806,2023-03-19,C,1834
241,807,2023-04-19,A,212
242,818,2023-09-01,A,977
243,820,2022-12-18,C,359
244,827,2025-06-08,C,1678
245,828,2024-05-21,A,656
246,831,2024-08-02,A,656
247,836,2023-07-29,A,1897
248,842,2023-12-17,B,1051
249,844,2023-02-21,A,1219
250,854,2022-05-11,A,1617
251,856,2023-05-21,A,1104
252,867,2023-08-16,A,453
253,873,2023-12-04,A,584
254,877,2024-01-30,A,1602
255,878,2023-05-21,A,159
256,882,2022-11-10,A,897
257,886,2024-12-15,A,624
258,887,2023-03-22,A,1829
259,893,2024-06-22,C,1643
260,895,2025-04-20,A,411
261,896,2022-11-04,C,944
262,904,2024-11-09,A,322
263,907,2024-03-08,A,681
264,909,2022-06-16,A,1707
265,910,2024-09-26,A,571
266,915,2023-09-23,A,337
267,916,2023-07-28,A,1217
268,919,2024-07-16,A,311
269,920,2023-08-04,B,1390
270,922,2024-02-02,A,583
271,923,2024-08-06,C,1898
272,925,2024-04-22,A,195
273,933,2022-09-30,A,481
274,937,2025-07-11,C,817
275,938,2023-09-22,A,1470
276,939,2024-04-29,A,829
277,944,2022-08-13,A,419
278,954,2023-08-18,A,355
279,956,2024-05-21,A,1196
280,957,2023-03-05,B,1088
281,969,2024-04-13,A,1519
282,970,2023-07-22,A,662
283,973,2024-03-21,A,807
284,974,2024-10-08,A,490
285,987,2024-07-19,A,1527
286,990,2024-05-12,C,761
287,992,2023-04-02,A,771
288,994,2023-03-21,A,1627
289,995,2022-09-27,B,711
290,1006,2024-02-25,A,598
291,1007,2024-01-26,A,1117
292,1008,2024-12-30,A,1746
293,1012,2023-10-04,A,1141
294,1013,2023-05-16,A,813
295,1014,2024-02-18,B,898
296,1019,2023-03-06,A,1471
297,1029,2023-04-19,A,1310
298,1030,2023-01-08,A,730
299,1031,2023-05-27,C,31
300,1033,2023-01-16,A,1739
301,1037,2024-01-31,A,1816
302,1043,2024-07-30,A,1886
303,1045,2025-07-18,C,384
304,1048,2024-09-16,A,933
305,1050,2024-12-22,B,138
306,1060,2024-05-31,A,1209
307,1067,2023-12-22,A,527
308,1068,2023-12-18,A,573
309,1070,2024-04-02,A,863
310,1072,2024-08-16,A,618
311,1073,2025-01-26,A,522
312,1076,2023-02-22,A,1830
313,1087,2024-11-14,A,1600
314,1089,2024-10-30,A,292
315,1091,2023-08-15,A,1307
316,1094,2024-05-06,A,708
317,1099,2024-11-21,A,839
318,1103,2024-08-20,A,1245
319,1109,2023-07-01,A,1625
320,1111,2022-08-14,A,971
321,1112,2024-09-08,A,337
322,1118,2022-05-08,A,1938
323,1120,2024-08-06,A,1478
324,1123,2023-07-16,A,137
325,1124,2025-05-07,B,1181
326,1129,2023-08-29,A,1195
327,1135,2025-07-25,A,985
328,1138,2023-10-04,B,831
329,1144,2025-10-03,C,272
330,1150,2024-08-10,B,1709
331,1157,2023-11-23,A,911
332,1162,2024-06-04,A,1762
333,1164,2023-03-07,C,379
334,1167,2023-08-18,C,316
335,1172,2023-02-07,A,1105
336,1173,2023-11-02,A,1235
337,1174,2024-07-13,A,1731
338,1176,2023-03-17,B,1888
339,1177,2022-05-03,A,1213
340,1179,2024-06-14,A,127
341,1180,2024-02-08,C,513
342,1184,2022-09-12,C,1471
343,1185,2024-09-26,A,209
344,1191,2023-12-30,C,1493
345,1192,2024-09-15,A,90
346,1193,2023-07-26,A,630
347,1198,2023-06-14,A,835
348,1202,2022-11-16,A,1017
349,1207,2024-12-21,A,404
350,1209,2024-03-15,B,136
351,1210,2023-06-18,A,1831
352,1214,2022-09-11,A,1378
353,1215,2024-11-23,C,96
354,1219,2023-02-09,C,250
355,1225,2022-12-07,A,1842
356,1243,2025-05-11,A,455
357,1246,2025-03-01,A,322
358,1252,2022-11-20,C,1315
359,1253,2025-05-12,A,28
360,1264,2025-04-28,C,1329
361,1265,2024-01-27,C,262
362,1267,2023-09-28,C,1268
363,1270,2023-09-12,A,999
364,1275,2025-03-09,A,1339
365,1276,2024-11-19,C,1817
366,1277,2024-08-06,C,1067
367,1278,2022-11-25,B,148
368,1282,2023-07-07,A,1285
369,1293,2023-10-01,A,1687
370,1295,2022-07-15,A,1850
371,1296,2024-10-30,A,585
372,1298,2023-02-11,A,924
373,1299,2023-06-23,A,647
374,1301,2024-04-18,C,853
375,1304,2024-07-15,A,746
376,1313,2023-09-12,A,1304
377,1317,2022-12-05,A,1697
378,1319,2023-07-02,B,759
379,1323,2022-10-10,A,1561
380,1328,2022-10-11,A,1404
381,1337,2023-06-09,A,1487
382,1345,2023-04-12,B,1951
383,1347,2024-12-12,A,212
384,1350,2024-10-16,B,441
385,1351,2023-04-07,C,1682
386,1353,2025-02-26,A,1492
387,1356,2025-04-08,A,735
388,1358,2025-03-05,C,1855
389,1362,2024-08-18,A,478
390,1366,2023-09-21,A,980
391,1367,2024-07-10,A,1464
392,1368,2022-11-17,A,1342
393,1369,2025-01-19,B,266
394,1370,2024-06-15,A,1580
395,1372,2023-08-12,A,1306
396,1384,2022-10-24,A,1818
397,1396,2023-11-17,A,1865
398,1399,2023-04-09,A,721
399,1407,2022-11-28,C,1276
400,1415,2022-08-26,A,214
401,1416,2022-10-10,A,1792
402,1417,2023-07-23,A,1005
403,1426,2024-04-20,A,1306
404,1430,2025-01-09,A,905
405,1431,2024-01-22,A,705
406,1434,2024-10-22,A,424
407,1441,2024-06-01,A,1091
408,1443,2023-12-19,A,1757
409,1445,2024-12-23,A,907
410,1447,2022-05-29,A,1686
411,1449,2023-12-02,A,792
412,1455,2023-09-20,A,1512
413,1460,2025-04-09,A,15
414,1462,2023-05-01,C,678
415,1464,2022-10-24,B,622
416,1466,2022-05-25,A,1888
417,1468,2024-05-08,A,1562
418,1469,2024-08-09,B,1326
419,1474,2023-01-25,A,1334
420,1476,2023-10-28,A,660
421,1480,2025-03-05,A,1832
422,1483,2023-06-07,A,1106
423,1484,2023-08-09,A,1867
424,1486,2023-03-17,C,439
425,1487,2024-09-16,A,1620
426,1491,2025-06-17,C,782
427,1493,2024-06-12,B,1232
428,1497,2023-07-09,C,1492
429,1504,2024-10-27,A,1619
430,1505,2025-03-17,C,1189
431,1506,2023-05-15,A,1445
432,1508,2023-11-02,A,1347
433,1509,2023-05-27,A,159
434,1519,2024-03-27,A,196
435,1523,2022-03-12,B,926
436,1527,2023-10-18,A,782
437,1529,2024-12-07,C,464
438,1532,2022-10-25,A,1290
439,1537,2023-09-08,C,645
440,1539,2024-06-01,A,1999
441,1554,2024-11-14,A,474
442,1559,2023-05-25,A,761
443,1564,2024-04-16,A,652
444,1565,2023-07-14,C,691
445,1566,2022-11-08,A,274
446,1568,2023-06-22,C,1072
447,1569,2023-11-05,C,527
448,1575,2025-04-14,B,164
449,1576,2024-03-21,C,730
450,1584,2025-05-12,B,1238
451,1586,2024-07-28,A,209
452,1587,2025-03-22,B,329
453,1588,2022-06-30,B,591
454,1591,2022-08-27,A,369
455,1593,2022-08-30,A,728
456,1597,2022-09-22,C,100
457,1598,2023-03-24,A,1945
458,1604,2025-06-26,A,1446
459,1606,2022-10-24,A,71
460,1607,2025-04-03,C,701
461,1610,2023-10-31,C,1599
462,1615,2024-11-25,A,444
463,1617,2024-10-19,A,1598
464,1620,2024-08-26,A,1703
465,1629,2025-05-10,A,1472
466,1633,2024-06-28,A,1015
467,1636,2024-03-16,C,1617
468,1637,2022-05-16,C,480
469,1640,2025-04-28,C,81
470,1646,2022-05-30,A,593
471,1649,2022-10-17,C,1807
472,1654,2022-08-10,B,1045
473,1657,2022-10-12,A,1498
474,1661,2022-10-17,A,139
475,1664,2025-05-09,A,1894
476,1665,2024-11-10,A,48
477,1667,2023-01-10,A,350
478,1668,2025-03-14,A,1672
479,1671,2024-08-23,A,139
480,1675,2025-04-25,C,1360
481,1680,2022-10-02,C,1472
482,1681,2022-09-29,B,1647
483,1684,2024-08-12,A,1619
484,1697,2023-09-18,C,350
485,1698,2023-01-11,A,1727
486,1699,2023-10-15,A,1739
487,1700,2023-10-18,A,786
488,1702,2024-12-15,A,975
489,1706,2023-11-10,A,736
490,1708,2023-06-16,A,254
491,1712,2024-03-23,A,655
492,1722,2022-06-22,A,320
493,1725,2023-05-20,A,1058
494,1726,2024-01-28,C,54
495,1728,2024-10-15,A,1363
496,1736,2025-06-06,A,1852
497,1738,2023-05-24,A,710
498,1740,2023-04-14,C,921
499,1741,2024-11-04,A,810
500,1743,2022-10-31,A,1485
501,1745,2022-08-25,A,715
502,1748,2022-12-04,A,371
503,1754,2024-03-05,C,1006
504,1760,2022-11-11,A,794
505,1767,2023-04-13,A,659
506,1774,2025-01-16,C,1083
507,1775,2023-11-21,B,729
508,1777,2023-06-30,A,1892
509,1780,2025-09-23,A,1085
510,1781,2024-09-03,A,1171
511,1782,2023-11-07,A,182
512,1783,2023-09-15,C,1950
513,1792,2023-06-28,C,53
514,1793,2025-04-02,A,1984
515,1794,2025-07-21,A,755
516,1795,2022-11-27,C,69
517,1797,2023-04-20,C,1604
518,1802,2023-11-23,B,568
519,1805,2023-12-10,C,223
520,1811,2024-06-11,A,237
521,1814,2025-03-31,A,1385
522,1816,2024-01-08,C,743
523,1817,2023-05-11,B,369
524,1820,2022-12-20,A,807
525,1822,2024-09-09,B,1034
526,1829,2025-08-03,A,1918
527,1830,2025-02-03,A,79
528,1832,2024-11-16,C,1747
529,1841,2025-03-16,A,462
530,1853,2023-01-06,A,1405
531,1860,2022-05-11,B,1437
532,1861,2023-11-13,A,1163
533,1862,2025-02-05,B,1046
534,1868,2025-04-23,A,1228
535,1871,2023-01-30,C,172
536,1872,2023-04-25,A,1372
537,1873,2025-03-02,B,1259
538,1874,2023-05-16,A,1622
539,1877,2022-11-21,C,1708
540,1878,2023-07-21,B,1653
541,1879,2024-05-08,A,1472
542,1888,2024-12-11,C,1678
543,1891,2025-03-03,A,1784
544,1909,2024-07-05,A,181
545,1911,2024-12-16,A,986
546,1916,2025-05-05,C,836
547,1923,2023-04-17,A,294
548,1924,2024-07-21,B,482
549,1927,2023-07-15,A,1407
550,1933,2023-12-06,A,837
551,1936,2022-12-05,A,990
552,1937,2023-06-28,A,1578
553,1952,2024-09-28,A,381
554,1956,2022-11-07,C,115
555,1960,2025-07-02,A,90
556,1963,2024-02-25,A,465
557,1968,2024-03-14,A,450
558,1969,2025-05-12,A,754
559,1978,2023-06-29,A,382
560,1979,2023-02-11,A,1441
561,1981,2025-01-22,A,1138
562,1983,2023-01-21,B,1175
563,1984,2024-02-29,A,1850
564,1985,2022-11-04,C,971
565,1987,2023-09-15,A,1529
566,1990,2022-05-24,A,428
567,1992,2025-02-19,A,1520
568,1993,2024-01-23,A,1403
569,1995,2022-07-20,C,1081
570,1999,2024-08-17,A,1357
571,2001,2025-03-06,A,842
572,2003,2023-09-02,C,478
573,2013,2023-05-03,A,338
574,2015,2024-09-10,C,1787
575,2025,2022-08-02,A,1578
576,2028,2024-12-22,C,1383
577,2036,2025-04-18,C,698
578,2037,2024-07-27,A,1173
579,2038,2022-07-08,A,1229
580,2042,2024-12-07,A,1816
581,2043,2023-12-27,A,1635
582,2044,2023-01-23,C,1821
583,2046,2024-06-07,A,958
584,2049,2023-11-16,A,928
585,2053,2025-01-09,A,142
586,2056,2023-02-07,A,304
587,2057,2023-10-22,A,933
588,2062,2025-06-01,A,333
589,2065,2023-10-31,A,594
590,2066,2023-06-29,A,1843
591,2074,2023-05-11,A,1550
592,2075,2024-06-11,C,1742
593,2078,2024-09-21,B,129
594,2082,2023-06-17,A,1372
595,2086,2022-09-20,A,659
596,2089,2023-05-31,A,1690
597,2091,2023-10-09,A,652
598,2092,2022-11-18,A,284
599,2095,2024-03-05,A,1913
600,2096,2024-06-20,A,1836
601,2103,2023-06-20,A,1479
602,2105,2024-06-02,A,262
603,2107,2025-12-16,A,1720
604,2111,2022-12-06,A,938
605,2122,2022-09-01,A,1029
606,2129,2022-12-09,A,935
607,2130,2023-03-13,A,1223
608,2134,2025-07-11,A,1259
609,2135,2024-12-24,A,1929
610,2138,2024-05-18,A,1572
611,2140,2025-05-29,C,1471
612,2145,2022-11-24,A,129
613,2147,2023-08-30,B,1972
614,2149,2023-03-17,A,1163
615,2154,2023-04-18,A,1528
616,2156,2022-12-04,A,1832
617,2161,2024-05-19,A,1614
618,2167,2023-10-16,A,83
619,2176,2022-11-01,A,1819
620,2177,2023-05-06,A,1635
621,2178,2023-10-25,A,243
622,2179,2022-10-21,A,130
623,2180,2023-02-26,A,1437
624,2183,2023-07-31,C,280
625,2187,2024-09-07,A,1897
626,2194,2025-02-03,A,51
627,2196,2024-01-01,A,547
628,2199,2024-08-12,C,260
629,2200,2023-10-04,B,419
630,2202,2023-01-09,A,772
631,2208,2025-03-13,A,848
632,2209,2024-08-10,A,1595
633,2210,2022-10-17,A,1236
634,2211,2022-06-23,C,921
635,2216,2022-05-14,B,1741
636,2221,2024-07-31,A,454
637,2227,2023-08-12,A,540
638,2228,2022-09-09,A,3
639,2229,2023-07-15,C,1916
640,2234,2022-10-02,A,1493
641,2235,2025-07-27,C,1223
642,2241,2023-03-08,A,1622
643,2243,2025-06-09,A,759
644,2244,2025-01-31,A,36
645,2246,2023-09-15,A,1656
646,2250,2025-02-01,A,228
647,2251,2024-01-09,B,498
648,2253,2023-01-28,A,1261
649,2254,2023-12-12,A,1734
650,2260,2023-04-03,A,785
651,2263,2022-10-16,A,717
652,2267,2023-12-16,A,1641
653,2274,2023-06-20,A,758
654,2283,2025-07-21,A,2000
655,2286,2023-10-22,A,323
656,2288,2023-01-06,A,188
657,2298,2023-02-21,A,33
658,2299,2025-02-03,A,1548
659,2303,2022-09-20,A,1603
660,2304,2022-08-07,A,425
661,2307,2025-01-26,A,350
662,2310,2022-12-03,B,1362
663,2313,2024-05-10,A,607
664,2316,2022-12-11,B,1579
665,2318,2022-09-13,A,1404
666,2324,2023-02-04,B,1787
667,2325,2025-03-14,C,1922
668,2329,2023-10-02,C,825
669,2334,2022-08-11,A,907
670,2335,2022-07-07,C,902
671,2339,2025-07-10,C,1799
672,2343,2022-12-01,C,1869
673,2344,2023-02-14,A,1308
674,2346,2022-11-14,A,1397
675,2348,2023-09-18,A,1498
676,2354,2024-10-07,A,570
677,2355,2024-07-29,A,1297
678,2367,2025-04-07,A,1910
679,2368,2023-07-31,A,370
680,2371,2024-06-09,A,259
681,2375,2024-01-14,A,229
682,2376,2024-09-14,A,888
683,2380,2023-12-13,A,996
684,2381,2024-09-07,A,1041
685,2386,2024-11-05,B,340
686,2395,2023-04-23,A,1955
687,2396,2023-06-10,C,417
688,2400,2024-01-03,C,1158
689,2402,2024-01-06,A,1914
690,2406,2023-05-20,A,1355
691,2413,2022-08-01,C,1823
692,2415,2022-12-30,B,572
693,2417,2024-09-20,A,1556
694,2422,2024-09-21,A,1123
695,2423,2022-08-05,C,1748
696,2426,2024-11-23,A,1848
697,2431,2024-08-20,C,913
698,2432,2022-11-12,C,356
699,2435,2023-11-16,C,1565
700,2454,2024-04-28,A,711
701,2455,2024-02-11,C,1699
702,2457,2024-11-25,A,1302
703,2459,2024-05-09,C,179
704,2462,2022-04-23,B,714
705,2466,2022-11-01,A,322
706,2469,2022-05-24,A,1738
707,2472,2023-01-26,A,936
708,2478,2024-05-31,C,21
709,2479,2024-02-06,C,296
710,2481,2025-05-22,A,1949
711,2482,2023-09-26,A,439
712,2490,2023-12-11,A,749
713,2493,2024-06-01,A,1968
714,2494,2025-06-12,C,1639
715,2495,2023-02-08,B,1481
716,2498,2023-06-11,A,621
717,2500,2022-12-23,A,1589
718,2501,2023-12-17,A,1865
719,2510,2023-04-11,A,718
720,2512,2023-11-10,A,1089
721,2517,2024-04-04,A,1097
722,2523,2025-04-28,C,92
723,2526,2023-01-09,B,362
724,2529,2023-12-29,A,1788
725,2535,2024-05-16,C,885
726,2547,2025-06-26,A,10
727,2555,2022-07-11,A,1435
728,2556,2022-12-26,A,315
729,2559,2025-03-27,A,640
730,2562,2025-03-21,A,836
731,2569,2025-05-15,B,391
732,2570,2023-03-10,C,1806
733,2573,2024-12-10,A,286
734,2578,2025-12-03,B,179
735,2584,2024-01-14,A,1620
736,2588,2023-01-02,A,562
737,2592,2023-03-19,A,1550
738,2594,2024-05-02,A,1278
739,2598,2022-06-28,A,1718
740,2600,2023-11-21,A,1214
741,2601,2022-12-09,A,975
742,2605,2023-01-14,C,1412
743,2612,2024-12-09,A,1364
744,2619,2024-10-13,A,1084
745,2624,2024-01-29,A,1422
746,2627,2023-09-29,A,1659
747,2628,2024-07-13,A,294
748,2645,2025-01-26,A,700
749,2646,2023-07-31,A,259
750,2647,2024-10-21,A,1092
751,2648,2023-12-02,A,1088
752,2652,2024-06-14,C,1714
753,2664,2023-04-21,A,1439
754,2665,2024-04-11,A,1438
755,2673,2025-01-22,B,988
756,2677,2022-05-25,A,1833
757,2679,2024-06-08,A,1838
758,2685,2022-10-26,B,1113
759,2690,2023-07-04,B,455
760,2695,2024-06-13,A,1802
761,2697,2024-10-01,A,253
762,2698,2022-05-15,A,783
763,2699,2022-10-29,A,823
764,2700,2024-02-03,A,1434
765,2709,2023-05-05,B,1932
766,2712,2024-04-21,B,1919
767,2714,2024-12-14,B,1142
768,2715,2023-03-23,C,988
769,2716,2024-12-03,C,723
770,2718,2025-04-29,A,235
771,2724,2024-03-23,A,243
772,2726,2024-05-19,C,1922
773,2727,2023-08-14,A,112
774,2731,2025-09-20,A,1988
775,2733,2022-12-12,A,1650
776,2734,2023-10-20,A,1866
777,2736,2023-02-20,C,1601
778,2740,2024-01-07,A,1258
779,2743,2022-08-14,B,660
780,2745,2023-03-06,A,125
781,2746,2024-09-17,A,102
782,2747,2024-11-11,A,638
783,2749,2025-03-09,A,147
784,2753,2023-03-20,A,482
785,2755,2023-04-08,B,977
786,2758,2022-10-05,A,1053
787,2759,2023-04-27,A,877
788,2761,2024-04-11,A,1716
789,2764,2022-10-06,A,428
790,2782,2023-10-15,A,379
791,2789,2025-02-14,A,1590
792,2793,2023-11-03,A,942
793,2794,2023-05-31,A,527
794,2795,2024-05-15,C,1085
795,2797,2023-10-26,A,1302
796,2801,2022-10-26,C,102
797,2807,2025-06-18,A,1006
798,2809,2025-02-25,A,1290
799,2812,2024-09-13,A,1404
800,2815,2023-01-14,A,1756
801,2818,2023-10-08,A,1026
802,2821,2023-08-13,A,424
803,2830,2024-01-30,B,1308
804,2831,2023-04-17,A,125
805,2833,2024-11-30,A,1514
806,2834,2023-01-14,A,557
807,2842,2023-07-15,C,1780
808,2845,2023-01-28,A,1021
809,2847,2023-07-17,A,1865
810,2854,2024-11-12,A,270
811,2855,2023-12-24,A,1267
812,2857,2022-08-18,C,764
813,2858,2023-02-22,A,1370
814,2859,2023-10-21,B,1319
815,2862,2022-07-27,B,1778
816,2865,2024-02-21,B,1621
817,2866,2024-05-10,A,1428
818,2871,2025-05-25,A,1446
819,2873,2022-10-04,A,590
820,2874,2023-05-29,C,1352
821,2880,2023-07-28,A,446
822,2883,2025-05-16,A,765
823,2884,2024-03-24,B,1812
824,2891,2025-03-23,A,1444
825,2893,2022-07-18,A,1197
826,2894,2023-04-09,C,1520
827,2901,2023-03-12,A,1763
828,2902,2024-08-25,B,316
829,2907,2024-09-14,A,119
830,2908,2025-04-30,A,1453
831,2922,2025-01-11,A,1770
832,2931,2023-02-27,C,129
833,2936,2024-08-12,A,1594
834,2937,2022-04-05,C,1751
835,2938,2022-11-29,C,13
836,2941,2023-11-17,A,898
837,2943,2023-12-07,A,755
838,2944,2025-04-14,A,1612
839,2946,2023-12-30,A,1833
840,2947,2022-07-23,A,1048
841,2952,2025-02-16,C,167
842,2957,2023-06-14,A,475
843,2960,2024-08-13,B,1294
844,2963,2025-07-03,A,1932
845,2973,2023-02-03,A,315
846,2981,2024-07-22,A,1563
847,2984,2024-01-15,A,1847
848,2986,2023-12-12,A,689
849,2988,2024-04-03,C,551
850,2990,2023-01-07,A,402
851,2992,2024-09-19,B,1200
852,2995,2022-10-24,A,1277
853,3010,2022-10-01,A,534
854,3012,2023-09-02,A,786
855,3014,2023-04-21,C,1163
856,3015,2023-03-18,A,379
857,3016,2023-07-30,A,1881
858,3019,2025-05-02,C,328
859,3026,2025-11-05,A,526
860,3038,2022-11-16,B,401
861,3039,2024-11-22,A,598
862,3041,2023-05-10,A,984
