ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
47,60,1,2024-11-11,1,9,98,1942,8,99,1,0
48,61,1,2024-03-07,1,1,31,1297,2,100,1,0
49,62,1,2022-08-21,1,1,23,103,3,101,1,0
50,64,1,2023-03-02,1,10,101,69,8,103,1,0
51,65,1,2023-10-22,1,13,121,1168,2,104,1,0
52,68,1,2024-10-09,1,1,9,1985,6,109,1,0
53,71,2,2023-08-02,1,23,158,324,7,114,1,0
54,74,1,2022-10-23,1,5,64,1956,5,119,1,0
55,76,2,2022-06-13,1,16,137,1699,10,122,1,0
56,79,1,2025-01-10,1,16,136,1582,4,127,1,0
57,80,1,2022-11-17,1,28,175,266,1,128,1,0
58,81,1,2024-08-06,1,27,172,1608,6,130,1,0
59,82,1,2024-11-14,1,7,86,64,1,132,1,0
60,83,2,2023-11-15,1,26,167,705,2,133,1,0
61,85,1,2023-12-10,1,6,76,53,2,138,1,0
62,86,2,2024-03-13,1,20,149,821,10,139,1,0
63,86,2,2024-03-21,1,20,149,821,10,140,1,0
64,87,2,2024-03-18,1,2,34,892,6,141,1,0
65,89,1,2022-06-21,1,3,42,1390,1,147,1,0
66,90,1,2023-12-23,1,1,3,1160,1,151,1,0
67,90,1,2023-12-02,1,1,3,1160,1,152,1,0
68,92,1,2025-02-19,1,1,26,393,3,155,1,0
69,93,1,2024-06-02,1,28,175,1640,6,156,1,0
70,93,1,2024-06-09,1,28,175,1640,6,157,1,0
71,94,2,2024-07-14,1,1,12,119,10,159,1,0
72,95,1,2024-12-08,1,21,154,540,5,160,1,0
73,96,1,2022-06-27,1,24,163,1613,5,161,1,0
74,97,1,2024-10-27,1,10,103,10,5,162,1,0
75,100,2,2023-07-13,1,19,144,42,7,166,1,0
76,101,1,2022-03-19,1,5,63,706,9,168,1,0
77,104,1,2025-01-28,1,11,111,1880,10,172,1,0
78,105,1,2023-02-19,1,19,146,1950,5,175,1,0
79,106,1,2023-03-04,1,1,10,1903,10,178,1,0
80,106,1,2023-01-30,1,1,10,1903,10,179,1,0
81,107,1,2022-09-19,1,1,29,827,7,180,1,0
82,110,1,2023-10-13,1,9,97,1362,5,183,1,0
83,111,1,2022-06-27,1,6,77,1239,5,184,1,0
84,111,1,2022-06-14,1,6,77,1239,5,185,1,0
85,112,1,2023-05-02,1,14,129,1340,6,186,1,0
86,113,1,2023-03-09,1,9,94,1860,5,188,1,0
87,114,1,2022-07-01,1,7,82,1945,6,189,1,0
88,115,1,2023-01-12,1,8,89,1315,9,192,1,0
89,116,1,2023-02-22,1,7,85,1754,6,193,1,0
90,117,2,2023-02-10,1,18,141,409,1,194,1,0
91,118,1,2024-11-17,1,2,33,1126,6,195,1,0
92,123,1,2024-08-11,1,4,54,1019,7,201,1,0
93,124,2,2023-05-04,1,1,26,1717,6,202,1,0
94,125,1,2023-11-19,1,22,156,1873,2,203,1,0
95,126,1,2024-09-09,1,11,113,469,1,204,1,0
96,127,1,2024-07-15,1,1,5,1876,9,205,1,0
97,128,1,2023-08-20,1,15,130,1127,10,206,1,0
98,129,1,2024-09-05,1,1,11,661,5,207,1,0
99,130,1,2022-07-12,1,4,59,1922,4,208,1,0
100,131,1,2024-08-21,1,1,23,1312,9,210,1,0
101,132,2,2023-02-01,1,27,171,1961,5,211,1,0
102,133,2,2023-03-09,1,1,11,755,9,213,1,0
103,133,1,2023-03-01,1,1,11,755,9,214,1,0
104,135,1,2023-01-13,1,1,23,1312,8,216,1,0
105,136,1,2022-07-03,1,6,74,886,3,218,1,0
106,137,1,2025-01-23,1,14,129,1142,6,221,1,0
107,137,1,2025-01-14,1,14,129,1142,6,222,1,0
108,139,1,2022-12-14,1,1,22,306,2,225,1,0
109,140,1,2023-01-07,1,2,38,1335,5,227,1,0
110,141,1,2022-04-29,1,14,126,1263,2,228,1,0
111,142,1,2024-02-02,1,13,121,676,10,229,1,0
112,145,2,2022-12-05,1,15,132,186,1,233,1,0
113,146,1,2024-03-16,1,2,38,734,7,235,1,0
114,146,1,2024-03-29,1,2,38,734,7,236,1,0
115,147,1,2022-08-04,1,25,165,439,7,239,1,0
116,150,1,2025-01-20,1,4,56,1433,6,246,1,1
117,153,1,2022-10-11,1,1,3,1900,10,252,1,0
118,157,2,2024-11-05,1,15,133,939,3,257,1,0
119,160,1,2022-09-15,1,30,179,752,5,263,1,0
120,161,1,2024-03-23,1,10,105,431,6,264,1,0
121,162,1,2023-05-21,1,27,171,1473,8,265,1,0
122,163,2,2023-01-30,1,3,44,839,6,266,1,0
123,164,1,2022-11-02,1,28,173,1999,8,267,1,0
124,166,1,2024-07-02,1,10,102,1046,8,272,1,0
125,167,2,2024-02-08,1,8,89,571,8,273,1,0
126,170,1,2023-06-05,1,18,141,559,5,277,1,0
127,172,1,2023-11-27,1,1,10,846,10,280,1,0
128,173,1,2024-03-31,1,9,100,927,9,282,1,0
129,177,1,2023-08-19,1,14,125,391,10,287,1,0
130,180,1,2024-05-19,1,2,37,956,6,292,1,0
131,180,1,2024-03-11,1,2,37,956,6,293,1,0
132,181,2,2024-09-21,1,20,147,1097,9,295,1,0
133,183,2,2022-06-08,1,19,144,504,9,299,1,0
134,184,1,2024-02-26,1,11,113,238,5,300,1,0
135,185,2,2024-12-14,1,6,77,858,1,302,1,0
136,186,1,2022-05-13,1,8,91,1129,4,303,1,0
137,187,1,2023-04-19,1,9,95,1013,2,304,1,0
138,190,2,2023-10-27,1,10,104,1883,1,308,1,0
139,191,1,2022-07-07,1,13,124,1018,4,309,1,0
140,192,2,2023-03-05,1,30,180,85,3,313,1,0
141,193,1,2024-10-10,1,8,91,227,10,314,1,0
142,194,1,2023-05-05,1,10,106,1577,10,316,1,0
143,197,1,2024-03-14,1,10,105,431,4,320,1,0
144,199,1,2022-08-23,1,1,12,1429,6,322,1,0
145,200,1,2024-12-06,1,14,126,1076,4,325,1,0
146,201,1,2023-12-15,1,19,146,533,7,327,1,0
147,202,1,2024-09-02,1,8,87,1673,5,328,1,1
148,203,1,2024-08-01,1,1,28,1904,5,330,1,0
149,204,1,2023-06-05,1,1,28,677,7,331,1,0
150,205,1,2022-12-26,1,21,153,638,9,332,1,0
151,206,1,2024-09-03,1,1,13,698,8,334,1,0
152,210,1,2024-07-25,1,11,114,1853,6,340,1,0
153,213,1,2023-11-21,1,22,156,1394,2,344,1,0
154,214,1,2024-11-19,1,3,46,1479,6,346,1,0
155,215,1,2023-08-15,1,22,156,1777,8,347,1,0
156,217,1,2023-06-29,1,24,163,1723,7,350,1,0
157,217,1,2023-09-07,1,24,163,1723,7,351,1,0
158,218,2,2022-04-09,1,20,148,236,6,352,1,0
159,220,1,2023-08-23,1,1,5,511,9,355,1,0
160,221,2,2022-11-16,1,29,176,381,7,358,1,0
161,224,1,2024-01-13,1,1,28,124,10,363,1,0
162,225,2,2022-10-16,1,1,1,1105,5,364,1,0
163,226,1,2022-06-10,1,1,24,118,4,365,1,0
164,227,1,2024-08-06,1,1,2,1065,1,366,1,0
165,228,1,2023-09-26,1,8,89,1465,6,367,1,0
166,229,1,2023-05-19,1,28,174,440,10,368,1,0
167,233,1,2024-03-30,1,1,18,837,3,375,1,0
168,236,1,2022-10-19,1,7,80,199,3,379,1,0
169,239,1,2022-07-10,1,9,97,534,8,382,1,0
170,240,1,2022-11-04,1,3,49,457,8,383,1,0
171,240,1,2022-10-27,1,3,49,457,8,384,1,0
172,241,2,2022-07-02,1,8,89,1614,5,386,1,0
173,242,2,2024-06-22,1,1,25,1042,7,387,1,0
174,243,1,2022-03-19,1,8,92,1972,7,388,1,0
175,244,2,2022-12-19,1,9,97,1362,8,391,1,0
176,245,1,2024-12-15,1,11,109,1438,6,395,1,0
177,248,1,2024-05-20,1,7,80,864,3,401,1,0
178,251,1,2022-01-23,1,1,27,1006,7,407,1,0
179,253,1,2024-02-03,1,1,10,765,10,411,1,0
180,254,1,2025-01-22,1,15,133,474,5,412,1,0
181,256,1,2023-12-10,1,13,120,844,10,414,1,0
182,256,1,2023-11-14,1,13,120,844,10,415,1,0
183,257,2,2023-05-31,1,6,77,1984,4,416,1,0
184,259,1,2022-02-08,1,1,9,780,8,418,1,0
185,262,1,2023-05-02,1,2,38,1967,9,422,1,0
186,263,1,2022-06-08,1,30,181,1575,1,423,1,0
187,266,1,2023-03-10,1,16,135,1325,9,428,1,0
188,267,1,2023-09-09,1,1,13,200,3,429,1,0
189,268,1,2022-02-19,1,12,118,1492,3,430,1,0
190,268,1,2022-01-16,1,12,118,1492,3,431,1,0
191,269,1,2023-11-25,1,25,165,11,7,433,1,0
192,270,1,2023-11-05,1,6,76,1863,7,434,1,0
193,272,1,2022-03-22,1,3,44,1303,9,437,1,0
194,273,1,2022-10-07,1,12,117,138,3,438,1,0
195,274,2,2024-03-29,1,5,63,1927,7,439,1,0
196,275,1,2024-08-18,1,4,55,1235,8,441,1,0
197,276,1,2024-07-15,1,11,111,43,8,442,1,0
198,277,1,2024-08-20,1,11,109,789,7,445,1,0
199,280,1,2023-04-17,1,1,26,393,4,451,1,0
200,281,1,2023-02-10,1,3,45,54,1,453,1,0
201,282,2,2024-01-05,1,8,88,300,7,454,1,0
202,286,1,2023-02-04,1,1,5,1966,7,462,1,0
203,287,1,2024-06-15,1,3,41,1862,8,463,1,0
204,287,1,2024-04-24,1,3,41,1862,8,464,1,0
205,291,1,2024-07-11,1,23,159,1284,7,471,1,0
206,292,2,2022-09-26,1,22,157,1651,4,472,1,0
207,293,2,2024-03-06,1,1,29,918,5,473,1,0
208,294,1,2023-12-18,1,7,81,1661,8,476,1,1
209,296,1,2022-05-29,1,3,50,1412,8,481,1,0
210,299,1,2024-01-23,1,1,8,188,9,486,1,0
211,301,1,2023-06-19,1,4,60,249,6,488,1,0
212,302,1,2022-10-04,1,12,119,1536,10,489,1,0
213,303,1,2024-11-20,1,3,47,1663,8,490,1,0
214,304,1,2022-10-31,1,31,182,1543,7,491,1,0
215,304,1,2022-12-16,1,31,182,1543,7,492,1,0
216,305,1,2024-05-09,1,18,143,1009,3,493,1,0
217,305,1,2024-06-26,1,18,143,1009,3,494,1,0
218,307,1,2023-12-30,1,25,165,1636,4,498,1,1
219,309,2,2023-08-22,1,26,168,583,6,501,1,0
220,313,1,2024-07-03,1,13,120,1005,8,511,1,1
221,316,2,2023-05-23,1,19,145,1525,4,516,1,0
222,316,2,2023-07-07,1,19,145,1525,4,517,1,0
223,317,1,2022-11-04,1,12,118,450,7,520,1,0
224,317,1,2022-10-16,1,12,118,450,7,521,1,0
225,318,1,2024-06-04,1,15,133,1021,10,523,1,0
226,319,1,2023-11-17,1,25,165,439,10,524,1,0
227,320,2,2022-12-05,1,1,30,1484,9,525,1,0
228,321,1,2024-12-23,1,13,124,1334,4,526,1,0
229,324,2,2023-10-24,1,11,108,1597,7,534,1,0
230,327,1,2022-12-20,1,10,102,1434,2,539,1,0
231,328,1,2024-11-26,1,20,147,1123,2,542,1,0
232,329,1,2024-04-02,1,3,46,745,8,543,1,0
233,333,1,2022-03-01,1,20,151,1170,2,549,1,0
234,334,2,2022-11-23,1,3,48,655,10,550,1,0
235,337,1,2022-03-27,1,15,134,1831,2,554,1,0
236,338,2,2023-10-09,1,5,67,378,10,555,1,0
237,339,1,2023-08-29,1,3,47,1672,5,556,1,0
238,340,1,2023-07-30,1,4,59,1780,1,557,1,0
239,343,1,2022-08-13,1,8,93,989,4,565,1,0
240,344,1,2025-01-27,1,1,27,1917,1,568,1,0
241,345,1,2023-10-14,1,16,135,1175,6,571,1,0
242,346,2,2023-12-03,1,7,82,61,7,572,1,0
243,347,1,2023-05-28,1,1,6,920,9,574,1,0
244,350,1,2023-07-29,1,1,18,405,6,578,1,0
245,352,1,2025-01-26,1,28,173,833,1,580,1,0
246,352,1,2024-12-30,1,28,173,833,1,581,1,0
247,356,1,2025-01-14,1,6,76,1941,1,590,1,0
248,357,1,2023-11-10,1,1,22,1511,1,591,1,0
249,357,1,2023-09-21,1,1,22,1511,1,592,1,0
250,358,1,2024-04-10,1,15,132,539,10,594,1,0
251,359,1,2024-12-16,1,29,178,1631,6,595,1,0
252,363,1,2024-03-08,1,27,170,514,8,599,1,0
253,365,2,2023-04-17,1,1,24,118,3,601,1,0
254,366,1,2024-11-21,1,19,145,1176,3,603,1,0
255,367,1,2022-12-11,1,12,119,818,8,605,1,0
256,367,1,2022-12-09,1,12,119,818,8,606,1,0
257,371,1,2024-10-26,1,27,172,1602,2,614,1,0
258,374,1,2024-05-30,1,7,83,430,3,617,1,0
259,375,1,2022-08-30,1,13,123,1336,9,618,1,0
260,376,2,2023-08-28,1,1,9,557,1,619,1,0
261,379,1,2025-01-30,1,28,175,1951,6,625,1,0
262,381,1,2023-03-15,1,22,157,923,4,630,1,0
263,382,1,2022-04-23,1,19,145,653,4,631,1,0
264,384,1,2023-06-22,1,22,156,1873,3,633,1,0
265,385,1,2024-04-23,1,10,104,1571,10,635,1,0
266,386,2,2024-01-23,1,27,171,1961,2,637,1,0
267,387,1,2023-10-11,1,30,181,325,4,638,1,0
268,388,2,2023-02-24,1,3,41,1568,5,639,1,0
269,391,1,2024-08-14,1,1,16,32,9,642,1,0
270,391,1,2024-08-13,1,1,16,32,9,643,1,0
271,392,1,2022-11-03,1,3,45,1384,4,644,1,0
272,393,1,2023-10-29,1,1,14,1845,1,646,1,0
273,394,2,2022-08-22,1,1,20,28,2,647,1,0
274,397,1,2025-01-05,1,3,47,1619,7,652,1,0
275,398,1,2025-01-05,1,2,34,893,3,653,1,0
276,400,1,2022-04-23,1,11,109,1299,3,656,1,0
277,401,1,2025-02-21,1,26,167,705,2,657,1,0
278,401,1,2025-01-31,1,26,167,705,2,658,1,0
279,402,1,2022-03-31,1,12,119,733,7,660,1,0
280,403,1,2024-08-31,1,3,41,366,4,663,1,0
281,404,1,2023-08-11,1,9,97,1362,2,664,1,0
282,404,1,2023-07-21,1,9,97,1362,2,665,1,0
283,408,1,2022-11-25,1,31,184,1556,4,673,1,0
284,409,2,2022-08-15,1,16,135,1343,4,674,1,0
285,410,1,2022-11-12,1,19,146,1721,6,677,1,0
286,411,1,2024-03-09,1,5,70,785,9,680,1,0
287,412,2,2023-02-04,1,12,116,94,4,681,1,0
288,414,1,2023-06-03,1,7,86,196,4,683,1,0
289,415,1,2023-07-15,1,25,165,439,4,684,1,0
290,417,1,2023-11-05,1,6,76,1863,5,686,1,0
291,418,1,2023-08-04,1,19,144,1174,5,687,1,0
292,420,1,2024-06-23,1,19,144,1475,6,690,1,0
293,421,1,2024-01-07,1,1,13,662,4,692,1,0
294,422,1,2023-05-25,1,25,164,445,8,693,1,0
295,424,1,2022-12-12,1,1,21,299,7,697,1,0
296,426,1,2022-08-02,1,31,182,1913,8,699,1,0
297,426,2,2022-06-20,1,31,182,1913,8,700,1,0
298,429,1,2022-01-07,1,4,56,957,4,705,1,0
299,431,1,2023-05-30,1,30,181,1575,2,708,1,0
300,432,1,2022-10-14,1,16,135,1147,2,712,1,0
301,435,2,2024-11-05,1,26,169,1140,2,717,1,0
302,436,1,2022-07-05,1,2,35,1331,8,718,1,0
303,437,1,2022-09-12,1,21,154,1062,1,720,1,0
304,438,1,2023-11-14,1,23,159,1302,10,721,1,0
305,443,1,2024-08-07,1,21,152,348,6,732,1,0
306,444,1,2023-12-08,1,30,180,1208,7,735,1,0
307,445,1,2022-12-23,1,27,170,1199,10,736,1,0
308,447,1,2022-02-28,1,3,46,1248,7,738,1,0
309,448,1,2024-01-05,1,22,156,1870,6,740,1,0
310,450,1,2024-12-14,1,20,149,172,8,742,1,0
311,451,1,2024-11-17,1,4,61,212,7,743,1,0
312,453,1,2024-09-19,1,1,22,1373,4,745,1,0
313,454,1,2024-12-30,1,5,70,785,3,749,1,0
314,455,1,2024-02-19,1,17,139,1437,9,750,1,0
315,456,2,2022-03-11,1,8,91,1129,8,751,1,0
316,458,1,2022-11-21,1,1,30,1559,7,753,1,0
317,459,1,2024-04-06,1,23,160,1332,5,755,1,0
318,463,1,2024-07-06,1,8,90,1366,6,763,1,0
319,466,1,2024-08-29,1,6,79,1566,7,766,1,0
320,469,1,2024-08-05,1,1,27,1635,9,770,1,0
321,470,2,2023-05-22,1,1,18,1827,2,771,1,0
322,471,2,2022-01-11,1,31,183,948,2,772,1,0
323,472,1,2022-05-03,1,22,155,278,8,774,1,0
324,473,1,2023-11-25,1,9,99,1195,7,775,1,0
325,474,2,2022-12-27,1,6,71,1576,8,778,1,0
326,474,1,2023-01-20,1,6,71,1576,8,779,1,0
327,475,1,2022-11-24,1,6,73,697,5,780,1,0
328,478,1,2023-06-24,1,27,170,873,8,783,1,0
329,480,1,2022-07-13,1,17,140,721,2,787,1,0
330,481,2,2023-02-22,1,15,134,861,4,788,1,0
331,484,1,2022-07-14,1,7,81,1661,5,794,1,0
332,485,1,2024-02-04,1,4,61,212,6,795,1,0
333,486,2,2022-09-07,1,24,163,1243,8,796,1,0
334,487,2,2023-12-03,1,7,82,61,10,798,1,0
335,489,1,2024-10-26,1,11,113,238,3,801,1,0
336,492,1,2023-09-02,1,28,173,1419,5,805,1,0
337,493,1,2023-09-20,1,5,67,1515,9,807,1,0
338,494,1,2022-07-29,1,1,11,464,6,808,1,0
339,496,1,2022-03-22,1,8,87,1973,2,811,1,0
340,497,1,2022-04-12,1,27,171,1088,7,812,1,0
341,499,1,2022-04-04,1,3,46,1111,9,814,1,0
342,500,1,2024-04-25,1,11,111,1705,7,815,1,0
343,501,1,2023-07-20,1,17,138,1655,4,816,1,0
344,504,1,2024-10-17,1,19,144,331,7,822,1,0
345,504,2,2024-09-21,1,19,144,331,7,823,1,0
346,505,1,2022-12-16,1,8,93,1224,9,824,1,0
347,508,1,2024-04-13,1,8,93,934,10,829,1,0
348,509,1,2022-06-23,1,2,33,849,4,830,1,0
349,510,1,2024-02-15,1,18,141,1114,7,832,1,0
350,511,1,2023-04-15,1,1,14,142,4,833,1,0
351,515,1,2024-08-07,1,28,174,580,6,841,1,0
352,516,2,2024-08-28,1,25,164,1683,10,842,1,0
353,517,1,2024-05-15,1,28,173,1050,2,844,1,1
354,518,1,2024-10-30,1,1,24,1647,1,845,1,0
355,519,1,2024-04-17,1,14,127,671,9,846,1,0
356,521,1,2025-02-17,1,22,157,1421,1,848,1,0
357,522,1,2024-06-27,1,1,5,192,4,849,1,0
358,523,1,2022-06-15,1,27,172,1328,6,850,1,0
359,524,1,2023-03-01,1,4,61,212,2,853,1,0
360,525,1,2025-01-19,1,1,22,517,8,855,1,0
361,526,1,2023-10-25,1,1,12,88,10,856,1,0
362,527,1,2023-12-10,1,29,176,381,9,858,1,0
363,528,2,2022-04-01,1,1,1,345,9,862,1,0
364,531,1,2023-01-05,1,1,15,786,7,865,1,0
365,532,1,2023-09-05,1,3,40,360,9,866,1,0
366,535,2,2022-12-07,1,9,97,181,1,869,1,0
367,537,1,2023-04-24,1,8,88,1833,1,871,1,0
368,540,1,2024-10-27,1,3,49,1130,5,876,1,0
369,541,1,2022-07-30,1,14,127,1283,9,878,1,0
370,542,1,2022-06-05,1,7,86,1059,8,879,1,0
371,543,1,2024-03-17,1,1,13,1508,1,882,1,0
372,545,1,2023-10-07,1,1,27,1635,10,885,1,0
373,545,1,2023-08-26,1,1,27,1635,10,886,1,0
374,546,1,2025-01-08,1,26,169,615,6,888,1,0
375,550,1,2023-02-21,1,1,10,251,9,894,1,0
376,553,1,2022-08-10,1,16,136,857,9,899,1,0
377,554,1,2022-11-14,1,11,109,1004,1,900,1,0
378,557,1,2023-01-08,1,14,127,885,10,904,1,0
379,558,1,2024-09-02,1,1,13,662,8,905,1,1
380,562,1,2024-02-27,1,10,102,1046,8,914,1,0
381,563,1,2022-10-29,1,27,172,867,3,915,1,0
382,564,1,2023-03-20,1,5,66,1894,4,916,1,0
383,565,1,2024-05-10,1,9,94,1860,6,918,1,0
384,566,1,2023-03-01,1,10,107,1063,3,919,1,0
385,567,1,2024-05-07,1,1,5,1876,5,921,1,0
386,569,1,2024-12-24,1,3,50,616,7,924,1,0
387,570,1,2022-11-15,1,10,106,596,7,925,1,0
388,571,1,2022-04-23,1,9,99,201,3,926,1,0
389,572,1,2024-01-01,1,26,169,1140,10,928,1,0
390,573,1,2025-01-29,1,9,96,1785,6,930,1,0
391,574,2,2023-12-07,1,7,80,669,1,931,1,0
392,575,1,2024-06-24,1,20,147,478,1,933,1,0
393,579,1,2023-03-10,1,13,120,844,10,938,1,0
394,581,1,2022-06-16,1,1,11,813,10,941,1,0
395,582,1,2023-07-21,1,1,14,1115,7,943,1,0
396,584,1,2022-12-06,1,1,25,1565,1,946,1,0
397,586,2,2023-10-04,1,3,43,1890,6,948,1,0
398,588,1,2023-07-10,1,3,45,128,3,951,1,0
399,589,1,2022-03-10,1,3,48,573,4,952,1,0
400,592,2,2023-06-05,1,6,71,388,6,957,1,0
401,593,1,2025-02-13,1,21,152,901,10,958,1,0
402,597,1,2024-03-27,1,11,113,469,10,964,1,0
403,598,1,2024-08-19,1,24,161,1222,9,967,1,0
404,599,1,2022-09-16,1,11,108,444,8,968,1,0
405,600,1,2024-05-31,1,7,83,310,1,969,1,0
406,601,1,2024-04-10,1,9,100,497,7,970,1,0
407,602,1,2025-01-01,1,7,83,1829,1,971,1,0
408,603,1,2023-07-07,1,23,159,1284,8,972,1,0
409,606,1,2022-08-19,1,3,43,1069,6,976,1,0
410,607,1,2024-12-17,1,14,129,1773,4,977,1,0
411,608,1,2024-07-30,1,3,42,494,4,978,1,0
412,609,2,2023-07-28,1,15,130,1489,8,979,1,0
413,610,1,2023-10-02,1,10,102,1540,10,982,1,0
414,613,2,2022-11-16,1,25,166,167,10,985,1,0
415,616,1,2023-02-07,1,20,148,1589,2,992,1,0
416,618,1,2023-01-11,1,1,15,1869,1,994,1,0
417,620,1,2024-02-15,1,9,100,497,9,996,1,0
418,621,1,2023-08-15,1,19,145,668,2,997,1,0
419,622,2,2022-08-07,1,1,12,232,2,998,1,0
420,623,1,2023-01-29,1,25,166,265,3,1002,1,0
421,625,2,2023-05-04,1,21,154,443,6,1006,1,0
422,626,1,2022-07-25,1,3,49,1688,7,1007,1,0
423,627,2,2022-08-23,1,1,19,214,3,1008,1,0
424,628,1,2023-10-05,1,4,60,1345,7,1009,1,0
425,628,2,2023-10-25,1,4,60,1345,7,1010,1,0
426,630,1,2022-08-17,1,2,33,114,3,1014,1,0
427,631,1,2024-04-18,1,24,163,1243,3,1015,1,0
428,632,1,2022-06-23,1,24,163,341,8,1016,1,0
429,633,1,2022-12-12,1,9,98,1942,6,1018,1,0
430,634,1,2022-10-29,1,3,51,96,3,1020,1,0
431,637,1,2024-10-14,1,18,143,150,2,1024,1,0
432,640,1,2024-01-11,1,20,150,512,7,1028,1,0
433,641,1,2023-08-05,1,3,44,1743,3,1029,1,0
434,641,1,2023-06-16,1,3,44,1743,3,1030,1,0
435,643,2,2024-03-17,1,5,69,428,5,1032,1,0
436,644,1,2024-09-25,1,24,161,117,2,1034,1,0
437,645,1,2022-06-01,1,31,184,253,8,1036,1,0
438,647,1,2022-03-11,1,19,145,1075,7,1038,1,0
439,649,1,2024-09-12,1,6,75,338,6,1042,1,0
440,650,1,2023-02-09,1,25,166,167,4,1044,1,0
441,651,1,2022-05-05,1,30,181,984,4,1045,1,0
442,653,1,2022-07-11,1,1,4,1455,6,1047,1,0
443,655,2,2025-02-22,1,1,6,866,3,1050,1,0
444,655,1,2024-12-23,1,1,6,866,3,1051,1,0
445,659,1,2023-02-04,1,1,24,1476,3,1056,1,0
446,661,1,2024-08-01,1,25,166,1702,8,1059,1,0
447,663,1,2023-11-15,1,3,48,1652,6,1062,1,0
448,664,1,2024-07-24,1,28,174,1450,3,1063,1,0
449,664,1,2024-09-16,1,28,174,1450,3,1064,1,0
450,665,1,2023-02-19,1,4,53,1064,8,1065,1,0
451,666,1,2023-11-02,1,7,81,990,7,1066,1,0
452,667,1,2025-01-19,1,5,63,372,9,1067,1,0
453,668,1,2023-01-03,1,29,178,1621,1,1068,1,0
454,669,2,2022-06-05,1,11,114,207,4,1069,1,0
455,672,2,2023-03-12,1,1,27,1194,10,1073,1,0
456,673,1,2024-08-10,1,28,174,1139,3,1074,1,0
457,673,1,2024-08-24,1,28,174,1139,3,1075,1,0
458,675,1,2024-04-10,1,15,130,377,6,1078,1,0
459,676,2,2024-10-15,1,25,165,1636,3,1079,1,0
460,678,1,2024-06-07,1,31,182,962,1,1082,1,0
461,679,2,2024-05-17,1,5,64,302,3,1083,1,0
462,680,1,2024-03-13,1,4,52,652,3,1084,1,0
463,681,1,2023-11-25,1,4,53,337,2,1085,1,0
464,682,1,2024-12-27,1,7,81,688,7,1087,1,0
